"pmid","authSet","lang","pubTypeSet","date","journal","keywordSet"
26,"EGIL AJ FISCHER;GERT-JAN BOENDER;GONNIE NODELIJK;ALINE A DE KOEIJER;HERMAN JW VAN ROERMUND","ENG","JOURNAL ARTICLE",2013-07-22,"ENGLANDVET RES93095510928-4249",""
27,"ELENA LÓPEZ-GIL;GEMA LORENZO;ESTHER HEVIA;BELÉN BORREGO;MARTIN EIDEN;MARTIN GROSCHUP;SARAH C GILBERT;ALEJANDRO BRUN","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T",2013-07-11,"UNITED STATESPLOS NEGL TROP DIS1012914881935-2727",""
28,"NAZLY SHAFAGATI;AARTHI NARAYANAN;ALAN BAER;KATHERINE FITE;CHELSEA PINKHAM;CHARLES BAILEY;FATAH KASHANCHI;BENJAMIN LEPENE;KYLENE KEHN-HALL","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T;RESEARCH SUPPORT, U.S. GOV'T, NON-P.H.S.",2013-07-04,"UNITED STATESPLOS NEGL TROP DIS1012914881935-2727",""
29,"WILLIAM C WILSON;MARCO ROMITO;DANE C JASPERSON;HANA WEINGARTL;YATINDER S BINEPAL;MOABI R MALULEKE;DAVID B WALLACE;PETRUS JANSEN VAN VUREN;JANUSZ T PAWESKA","ENG","JOURNAL ARTICLE",2013-07-11,"NETHERLANDSJ VIROL METHODS80058390166-0934","CATTLE;REAL-TIME RT-PCR;RIFT VALLEY FEVER VIRUS;SHEEP"
30,"SETH C BRITCH;YATINDER S BINEPAL;MARK G RUDER;HENRY M KARIITHI;KENNETH J LINTHICUM;ASSAF ANYAMBA;JENNIFER L SMALL;COMPTON J TUCKER;LEONARD O ATEYA;ABUU A ORIKO;STEPHEN GACHERU;WILLIAM C WILSON","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T;RESEARCH SUPPORT, U.S. GOV'T, NON-P.H.S.",2013-06-28,"UNITED STATESPLOS ONE1012850811932-6203",""
31,"Y BA;A A SALL;D DIALLO;M MONDO;L GIRAULT;I DIA;M DIALLO","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T",NA,"UNITED STATESJ AM MOSQ CONTROL ASSOC85112998756-971X",""
32,"KAYCIE C HOPKINS;LAURA M MCLANE;TARIQ MAQBOOL;DEBASIS PANDA;BETH GORDESKY-GOLD;SARA CHERRY","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, N.I.H., EXTRAMURAL",NA,"UNITED STATESGENES DEV87116600890-9369","DCP2;RNA DECAPPING;RNAI SCREEN;RVFV;BUNYAVIRUS;CAP-SNATCHING"
33,"MICHAËL LUCIANO TANTELY;JEAN-CLAUDE RAKOTONIAINA;ETIENNE TATA;LALA ANDRIANAIVOLAMBO;FIDIMANANA RAZAFINDRASATA;DIDIER FONTENILLE;NOHAL ELISSA","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T",NA,"UNITED STATESJ MED ENTOMOL03754000022-2585",""
34,"B-A GAÜZÈRE;P AUBRY","FRE","ENGLISH ABSTRACT;JOURNAL ARTICLE",NA,"FRANCEMED SANTE TROP101581406","ENDEMO-EPIDEMICS;HISTORY;HUMAN EPIDEMICS;ISLANDS;SOUTH-WEST INDIAN OCEAN"
35,"HARUN ALBAYRAK;EMRE OZAN","ENG","JOURNAL ARTICLE",2013-04-10,"IRANJ ARTHROPOD BORNE DIS1015934482322-1984","ELISA;HERBIVORE;RVFV;TURKEY;WNV"
